ACTOR,FILM,YEAR,GENRE,BOXOFFICE,IMDB
Shah Rukh Khan,Chennai Express,2013,Action/Comedy,423,6.1
Salman Khan,Bajrangi Bhaijaan,2015,Drama/Action,969,8
Aamir Khan,Dangal,2016,Sports/Drama,2027,8.4
Deepika Padukone,Piku,2015,Comedy/Drama,140,7.6
Ranveer Singh,Gully Boy,2019,Musical/Drama,238,8
Katrina Kaif,Zindagi Na Milegi Dobara,2011,Adventure/Drama,377,8.1
Hrithik Roshan,War,2019,Action/Thriller,475,6.5
Alia Bhatt,Raazi,2018,Thriller/Drama,220,7.8
Ranbir Kapoor,Sanju,2018,Biography/Drama,586,7.7
Kangana Ranaut,Queen,2014,Comedy/Drama,137,8.2
